Path,Sample,Reference_genome,ProviderName,cluster
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3AB2F_X0701,Pacnes_C1,N901S907,1
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0791,Pacnes_C1,N991S907,1
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0792,Pacnes_C1,N992S907,1
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0794,Pacnes_C1,N994S907,1
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3AA2F_X0713,Pacnes_C1,N913S907,2
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0779,Pacnes_C1,N979S907,2
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0725,Pacnes_C1,N925S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0726,Pacnes_C1,N926S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0727,Pacnes_C1,N927S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0728,Pacnes_C1,N928S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0729,Pacnes_C1,N929S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0730,Pacnes_C1,N930S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0731,Pacnes_C1,N931S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0732,Pacnes_C1,N932S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0733,Pacnes_C1,N933S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0734,Pacnes_C1,N934S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0735,Pacnes_C1,N935S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0736,Pacnes_C1,N936S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0738,Pacnes_C1,N938S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0743,Pacnes_C1,N943S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0745,Pacnes_C1,N945S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0747,Pacnes_C1,N947S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2F_X0748,Pacnes_C1,N948S907,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2K_X0801,Pacnes_C1,N901S921,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2K_X0802,Pacnes_C1,N902S921,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,1PA2K_X0803,Pacnes_C1,N903S921,3
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3AB2N_X0749,Pacnes_C1,N949S907,4
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0780,Pacnes_C1,N980S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0782,Pacnes_C1,N982S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0783,Pacnes_C1,N983S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0786,Pacnes_C1,N986S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0787,Pacnes_C1,N987S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0795,Pacnes_C1,N995S907,5
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3PA2C_X0793,Pacnes_C1,N993S907,6
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3AA2K_X0754,SepidermidisATCC12228,N954S907,90
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,3AA2K_X0760,SepidermidisATCC12228,N960S907,90